taxon	worms_id	worms_scientific_name	worms_is_terrestrial	worms_is_freshwater	worms_is_brackish	worms_is_marine	worms_lsid	worms_url
Pecten coudeini Bavay	1309277	Pecten coudeini	False	False	False	True	urn:lsid:marinespecies.org:taxname:1309277	http://www.marinespecies.org/aphia.php?p=taxdetails&id=1309277
Haliotis virginea morioria Powell, 1938	445371	Haliotis virginea morioria				True	urn:lsid:marinespecies.org:taxname:445371	http://www.marinespecies.org/aphia.php?p=taxdetails&id=445371
Lynceus sphaericus O.F. Müller, 1785	1300750	Lynceus sphaericus		True	True		urn:lsid:marinespecies.org:taxname:1300750	http://www.marinespecies.org/aphia.php?p=taxdetails&id=1300750
Lahaina ovata  Dana, 1851	441584	Lahaina ovata				True	urn:lsid:marinespecies.org:taxname:441584	http://www.marinespecies.org/aphia.php?p=taxdetails&id=441584
Pseudomurex perfectus Fischer	750046	Pseudomurex perfectus				True	urn:lsid:marinespecies.org:taxname:750046	http://www.marinespecies.org/aphia.php?p=taxdetails&id=750046
Mitra granulosa Lamarck, 1811	208290	Mitra granulosa				True	urn:lsid:marinespecies.org:taxname:208290	http://www.marinespecies.org/aphia.php?p=taxdetails&id=208290
Oliva olssoni Petuch & Sargent, 1986	448134	Oliva olssoni				True	urn:lsid:marinespecies.org:taxname:448134	http://www.marinespecies.org/aphia.php?p=taxdetails&id=448134
Chiton mauritianus Quoy & Gaimard, 1835	208400	Chiton mauritianus				True	urn:lsid:marinespecies.org:taxname:208400	http://www.marinespecies.org/aphia.php?p=taxdetails&id=208400
Cymothoidae Leach, 1818	118274	Cymothoidae	False	True	True	True	urn:lsid:marinespecies.org:taxname:118274	http://www.marinespecies.org/aphia.php?p=taxdetails&id=118274
Amphiura grandisquama Lyman, 1869	488005	Amphiura grandisquama	False	False	False	True	urn:lsid:marinespecies.org:taxname:488005	http://www.marinespecies.org/aphia.php?p=taxdetails&id=488005
